item,parent,label,original_point_cloud_count,minimal_bounding_box_volume,mesh_volume,date_created,user
root,
Stones,root
GuberNaturSteine,Stones
65a70f70-bb46-46ad-8dca-e20524466c0a,BatchA5,,30070,0.0009240256805127182,0.00052186213240580735,2021-09-03T19:32:55Z,broyet
698de5c1-300a-430d-918e-7faa63a7f479,BatchA5,,22887,0.00057476409332803244,0.00032799985664283223,2021-09-03T19:32:59Z,broyet
b68b3457-1afb-41c8-85e0-d67c57e872e2,BatchA5,,38004,0.0012854090944042316,0.00051167634333249121,2021-09-03T19:33:04Z,broyet
81ce408e-4085-4ec8-a93c-a93d7d2964c9,BatchA5,,13205,0.000475913863443396,0.00020930042321092948,2021-09-03T19:33:06Z,broyet
7f7708b2-4f9e-497a-b89b-98091cf75e42,BatchA5,,21157,0.00080366613330897017,0.00037190709619190496,2021-09-03T19:33:10Z,broyet
c422e551-5330-4c33-ab8d-a5530bd29c0c,BatchA5,,28491,0.0015421197274582347,0.00076925062462981973,2021-09-03T19:33:14Z,broyet
780d8381-d2d0-4b14-ae76-c9558baf8452,BatchA5,,44790,0.0014069401940212953,0.00078841738061059743,2021-09-03T19:33:20Z,broyet
d5b193a4-ad54-4843-b536-6ed2c029f84b,BatchA5,,33431,0.001340106764932887,0.00058473771912617104,2021-09-03T19:33:25Z,broyet
7ee7942c-bb01-4b77-b81a-c4fd4e0c3f6d,BatchA5,,89044,0.003965052794781816,0.0018473796560656798,2021-09-03T19:33:34Z,broyet
058b6182-4ad4-4893-bf93-030a18af0061,BatchA5,,72380,0.0041274417045303073,0.0018256330170194352,2021-09-03T19:33:42Z,broyet
88737428-61dc-4152-9aee-c44a8f095e14,BatchA5,,49528,0.0026070857397184326,0.0013160994419742023,2021-09-03T19:33:48Z,broyet
bc5740c3-d0e9-4669-88a5-8cd696bb79b0,BatchA5,,71024,0.0041416278508440846,0.0016416255673463839,2021-09-03T19:33:56Z,broyet
ddea19bc-d1d1-43cc-a7f2-2fbc3acea917,BatchA5,,19500,0.00071786015586863979,0.00025194250587226558,2021-09-03T19:33:59Z,broyet
fef1bae4-3669-45d0-aed6-89075bc81f13,BatchA5,,32047,0.0009855518523142026,0.00055412231593724196,2021-09-03T19:34:03Z,broyet
59fb2d6e-000d-46c5-a90b-4be2a1a3e6da,BatchA5,,28386,0.0010535452979003042,0.00061962667959272624,2021-09-03T19:34:07Z,broyet
bd29e1e9-2035-4d63-9eb7-f6539344e1db,BatchA5,,28991,0.0013856352818977845,0.00046543199282087812,2021-09-03T19:34:11Z,broyet
1765ab00-0c71-437d-8b2d-adf129913814,BatchA5,,42355,0.0012344011250185571,0.00069298262522902532,2021-09-03T19:34:16Z,broyet
bb831111-81fd-41d6-9b7f-3d114fdf0ae0,BatchA5,,20106,0.00073861835475938324,0.00045751829918531337,2021-09-03T19:34:20Z,broyet
33ac3eee-da62-4bb1-8b93-7b081d1a5e01,BatchA5,,18123,0.00056092041406672992,0.00030769708979816988,2021-09-03T19:34:23Z,broyet
c53b62ab-cb4c-4757-9d5a-439cde854a46,BatchA5,,20210,0.00092463147392472149,0.00034615687685266261,2021-09-03T19:34:26Z,broyet
6186dc50-c6ca-48c0-8dbf-d5ccd0ad7111,BatchA5,,21790,0.00089999810720147919,0.00052117554955618596,2021-09-03T19:34:30Z,broyet
